text,label,source_url,pre_labeled,notes
"DFT + Cleaver was dumb. Good hit.",hot_take,,TRUE,"Thin opinion on a nerf."
"Shiv refunding Senna's entire Q in a teamfight and being a 1-auto soul was dumb. Good hits.",analysis,,TRUE,"Thin. BORDERLINE hot_take: explains a specific interaction."
"Rek'Sai's combination of dueling power and mobility has made her too successful at high ranks, so we're shaving down her early-to-mid burst windows while preserving her unique map movement and longer fight pattern.",analysis,,TRUE,"Quoted patch-note rationale, not a community take - reviewer may want to drop."
"That Dblade change is crazy for Kai'Sa. That's legit Ravenous Hunter back. You're gonna heal so much more now, not only in lane but also mid game. Just never sell Dblade on Kai'Sa.",analysis,,TRUE,"BORDERLINE hot_take: item-change impact reasoning with a comparison."
"Why'd they stop the little ""W damage up, E cooldown down, R reworked"" bit in each champion's notes? I don't want to have to read that Bard got an extra 1% per 100 AP on his move speed, because that means nothing to me. Same as when a champ I don't play gets a +15 base damage but -5% AD change. The ""E got stronger"" line was helpful for skimming past changes that aren't drastic.",hot_take,,TRUE,"BORDERLINE rant: complaint about patch-note formatting, debatable preference."
"Unless I messed up the math it's not actually a huge buff. If you have 400 AP right now the damage is 180 + (400 x 0.17) = 248 per sphere. After the change it's 170 + (400 x 0.2) = 250. If you ult with 6 spheres the damage now is 1,488 and after the change 1,500. Not really much of a difference.",analysis,,TRUE,"Works the math with numbers."
"Syndra's build will not change until there's any incentive to go for burst. I'm not one-shotting ROA Viktor or Ahri without 2 rounds of spells, so why would I change my build? You don't even give up that much AP going Cosmic second.",analysis,,TRUE,"BORDERLINE hot_take: reasoned build argument with specifics."
"Hilarious how Riot decided nerfing the ROA build on Ahri specifically was the way to go, 80% of midlaners in higher elo are building ROA right now.",analysis,,TRUE,"BORDERLINE hot_take: stat-backed observation with dismissive framing."
"Brand jungle is already a thing in pro play and Riot buffs him further. He's a pro-jail jungler so it makes zero sense to buff him for soloQ without solving the pro-jail problem. It makes more sense to buff Morgana a tiny bit in the jungle.",analysis,,TRUE,"BORDERLINE hot_take: structured reasoning plus an alternative suggestion."
"Gwen still OP. This is not the problem of the E, it is the low CD.",hot_take,,TRUE,"BORDERLINE analysis: bold claim with thin reasoning."
"Apex Duo Restrictions - matchmaking currently is so fucked. You can have a random challenger 3k LP in a lobby with a master 500 LP player. Legit unplayable.",rant,,TRUE,"BORDERLINE hot_take: matchmaking complaint with a specific example, heavy venting."
"Man I just want to play with a buddy of mine. We're both like 200-500lp Master and just want to play some games together. As you already mentioned I had games where the enemy team was 4-5k lp higher than my team.",rant,,TRUE,
"No Naafiri nerf? She has an insane ban rate.",hot_take,,TRUE,"BORDERLINE analysis: references ban rate loosely, no real data."
"On the PBE as of yesterday Poro Stampede legitimately just does not work at all. It does nothing. Spirit Bomb says ""allied healing"" but some forms of self-heal work to charge it while others don't. Stackasaurous says ""increase all permanent stacks"" but it provides extra Tank Engine stacks. And that's just a start.",analysis,,TRUE,"Detailed PBE bug report with specific mechanic observations."
"Maokai twisted advance void dash probably still does like 6 explosion. Rite of ruins still has no internal cooldown leading to inf shield Yasuo/Yone.",analysis,,TRUE,"Specific mechanic/bug interactions."
"High roller doesn't seem to work on some characters, some snowball augments only seem to half work, generic ability augments have no balance (Garen has the W speed while active augment but the speed doesn't scale to duration so you essentially have an augment that gives 30% MS for 0.75 sec).",analysis,,TRUE,"Detailed augment bug/balance breakdown with example."
"They're fine if their aggregate pick rate hovers around 15% max. Traditional top laners shouldn't really be counted at full value like Teemo, Quinn, Jayce or Gnar. Similar goes for Ziggs in the bot lane.",analysis,,TRUE,"BORDERLINE hot_take: reasoning about pick-rate thresholds and champ categories."
"2 years ago marksmen became like 3 of the 5 highest picked midlaners in higher elos, and like 5 of the 10 top picks in midlane pro play, with somehow Nasus being one as a marksman counter and Garen being the Nasus counter, making it so only like 2-3 of the top 10 mids were even actual midlaners.",analysis,,TRUE,"Historical pick-rate observation with specifics."
"Same with mages bot. Except with higher winrate, but they're also like the official second class of botlane, and have lots of factors behind their winrates such as selection biases.",analysis,,TRUE,"Reasoning about winrate and selection bias."
"75% of the game nowadays is laning phase, and almost all top mains play it because they like to duel/skirmish. It's a similar situation with farming junglers, which Riot hates when they pop up, but for top lane. It promotes a play style most people who play that role don't like.",analysis,,TRUE,"BORDERLINE hot_take: playstyle argument with a stat."
"Deathfire is either going to be viable on other champs sometimes and broken on DOT characters like Brand, or it's going to be a useless rune for everyone else and balanced entirely around Brand. Kinda sucks how they designed it.",analysis,,TRUE,"BORDERLINE hot_take: structured either/or reasoning about rune balance."
"Not sure why they're buffing Aphelios, he's probably undervalued in pro and is one of those champions nerfed by surrender vote. Qiyana buffs are crazy work, the Qiyana mains are paying somebody off or have dirt on a balance designer. K'Sante nerfs are weird, he doesn't seem that good right now - a very high pickrate in pro and a 44% winrate. More like K'Fraudte.",hot_take,,TRUE,"MIXED: incredulous reactions to several patch changes; some data (K'Sante 44% WR). Reviewer may split."
"Highly doubt it, her low damage lvl 1-5 is a big issue in pro play. She can bully an enemy laner in isolation but her early skirmishing is too weak to be pick/ban in pro. She looks like a good game 4/5 pick in a BO5.",analysis,,TRUE,"Structured reasoning about pro viability."
"After DFT's interaction with ASol's Q was changed, his winrate dropped to 47% (now hovering at 48.5%).",analysis,,TRUE,"Specific winrate data tied to a change."
"Olaf, Draven, Poppy, Qiyana these champs are all 50-51% WR S tier picks, the actual fuck we buffing on them?",analysis,,TRUE,"BORDERLINE hot_take/rant: winrate data drives the complaint, emotional framing."
"Imperial Mandate is a failed rework already. Maybe it was just a Nami item before, but now it belongs to nobody. Very few champions want to pick it up. And it probably isn't that bad on Nami still as Q and R cds go down. Heck, even Renata could like it both for Q and R cooldowns, but Renata has a different set of issues where building defensively is more popular on her. There was one reasoning where the idea was that the item was meant to enable a Morgana Q R Q combo or something. But realistically Morgana is getting blown up with an item that gives no defensive stats and her kit doesn't support her to stay in ult range.",analysis,,TRUE,"BORDERLINE hot_take: detailed multi-champion item-rework reasoning, opens with a bold claim."
"How the hell are Naafiri and Sylas dodging nerfs in the jungle, these two champions make the game unplayable if they get even remotely fed, and have few if any weaknesses to exploit.",hot_take,,TRUE,"BORDERLINE rant: frustrated, but core is a debatable balance claim."
"Hey Rioter, can you explain why Sion who's been basically around 50% for a good time is getting nerfed, while Riven's been sitting on 54-56% winrate S+ for almost 2 years by now and received no nerf?",analysis,,TRUE,"BORDERLINE rant: frustrated question, but winrate-backed comparison drives it."
"20 jungle champs below 1-2% pick rate hovering 50-51% winrate and still not buffed or changed, but rather than fixing them it's again Poppy, Olaf, Zaaheen, Qiyana - any buffs to them results in possible flex pick increase and currently all 4 have no problem clearing on time.",analysis,,TRUE,"Data-backed argument about pick/winrate and buff priorities."
"LB with almost 51% emerald+ doesn't need any buff, especially if you add the Cassio nerf in the same patch.",analysis,,TRUE,"Thin. BORDERLINE hot_take: winrate-backed balance claim."
"Hard to understand how 56% win rate Senna emerald+ couldn't be hot fixed for 2 weeks but rather just ""ban her"".",analysis,,TRUE,"BORDERLINE rant: winrate-cited complaint."
"Why do champs with 50-51% winrate need a buff? Also, Aphelios and Kai'Sa both haven't received a direct buff in quite a long time.",analysis,,TRUE,"BORDERLINE hot_take: winrate-based balance question."
"Does the Kennen W change phrasing really make no sense or am I just too dumb to understand it?",rant,,TRUE,"Thin. Mild confusion/frustration about patch wording."
"It allows him to apply 3 stacks with W if he builds Runaan's, to my knowledge that's the only time it matters. Has some fun synergy with Shiv for auto->W instastuns if you go Shiv->Runaan's.",analysis,,TRUE,"Specific item/mechanic synergy explanation."
"I also hated having fun actually being able to clear fast on Shyvana to make up for her early weak game, thanks riot for making that significantly slower while also killing the on-hit build, I love the R+E AP slop build.",rant,,TRUE,"BORDERLINE hot_take: heavily sarcastic venting about build changes."
"Ok the Xin and Shyv changes really frustrate me. They'll support an AS Xin build calling it a lost playstyle, but they won't support it on Shyvana? They don't want her to rely on items like Kraken? Why? Ffs riot, make up your minds and stay consistent. Are AS builds allowed on bruisers or not?",rant,,TRUE,"BORDERLINE hot_take: explicit frustration (Ffs riot) wrapped around a consistency argument."
"Acknowledging you accidentally nerfed top Tahm and not walking back the changes, only to make him more frustrating as support, is so weird. Inb4 riot nerfs his q/passive again for being too strong in duo lanes, killing his top lane presence permanently. He was kept intentionally weak for over a year due to player frustration surveys (3 damage nerfs in a row). His early game is abysmal especially with homeguard changes, but his mid and late game feel good if you can get there with the introduction of DnD. He received a slight buff in his passive before his 1st skin in 1000 days, then is immediately hit with a double tap nerf on his passive ratios disguised as a buff. He hasn't cracked 50% in em+ in both roles in ages. Riot expressed that they want to support both roles but what they've done here is the opposite of that.",analysis,,TRUE,"Long, structured, evidence-backed balance argument with a proposed solution; some frustration."
"Am I crazy or does ""XP Increase: +12.5% from all sources => +80 flat XP on champion takedown; +11% from all other sources"" make top lane even more snowbally and one sided than it already is? If you lose lane early and get quest late you're pretty much fucked top vs all-in champs like Riven/Fiora/Trundle etc.",analysis,,TRUE,"BORDERLINE hot_take: reasoning about a specific XP change with a scenario."
"Why is she nuked? Her P, Q and R are pretty much the same. You now max W 2nd instead of E, still having the E on rank 3 all the time now instead of 1-5 before, and get the W CD down massively with the power up in the mid game for more mobility and durability. Only downside is the Q CD change for base stats and a way better W for free pretty much (slightly higher E CD).",analysis,,TRUE,"BORDERLINE hot_take: detailed skill-order/mechanic breakdown."
"Remove duo queue in grandmaster+ and my life is yours.",hot_take,,TRUE,"Short suggestion/opinion."
"Nerfing all keystones that give unique builds and playstyles because we prefer when people are just stat-sticks who play exactly the same way every game.",hot_take,,TRUE,"BORDERLINE rant: sarcastic critique of design philosophy."
"New Stattik Shiv looks like a great option for Kai'Sa. If the bounces proc on-hit, that means she procs her passive with it right?",analysis,,TRUE,"BORDERLINE hot_take: item-interaction reasoning/question."
"Doesn't the new boots with mid upgrade make them the only choice for mages? 5% extra dmg while getting around 100-300 heal per fight.",analysis,,TRUE,"Item reasoning with specifics."
"You need 8 more AD so 8 stacks to go back to old Hubris? After that you're getting more AD than before? Also toplane is a straight xp nerf unless you're getting kill participations every second? Mmh I loved opportunity, ripperoni. Comet change seems like a buff for ranged users tho.",analysis,,TRUE,"BORDERLINE hot_take: item/change math reasoning with a bit of emotion."
